filename,title,type,category,description,tags,source,license,url
celestite_geode_01.webp,Celestite Geode,crystal,ethereal,Sky-blue strontium sulfate crystals inside a geode.,"celestite, blue, sky, angelic, sulfate",Unsplash Search,Check Source,https://unsplash.com/s/photos/celestite
lapis_lazuli_rough_01.webp,Lapis Lazuli Rough,rock,classic,Deep blue metamorphic rock with gold pyrite flecks.,"lapis, blue, gold, royal, ancient",Unsplash Search,Check Source,https://unsplash.com/s/photos/lapis-lazuli
aquamarine_raw_01.webp,Raw Aquamarine,gem,classic,Pale blue-green beryl crystal column.,"aquamarine, beryl, blue, sea, gem",Unsplash Search,Check Source,https://unsplash.com/s/photos/aquamarine-crystal
garnet_almandine_01.webp,Almandine Garnet,gem,classic,Deep red dodecahedral garnet crystal in matrix.,"garnet, red, dark, raw, january",Unsplash Search,Check Source,https://unsplash.com/s/photos/garnet-stone
selenite_tower_01.webp,Selenite Tower,crystal,classic,Translucent white gypsum tower with fiber-optic sheen.,"selenite, white, cleansing, gypsum, moon",Unsplash Search,Check Source,https://unsplash.com/s/photos/selenite-crystal
hematite_botryoidal_01.webp,Hematite,mineral,classic,Metallic gunmetal-grey iron oxide with bubbly botryoidal form.,"hematite, metallic, grey, heavy, iron",Unsplash Search,Check Source,https://unsplash.com/s/photos/hematite
chalcopyrite_peacock_01.webp,Peacock Ore,mineral,classic,Chalcopyrite treated with acid to show vibrant purple and blue iridescence.,"chalcopyrite, colorful, iridescent, copper, peacock",Unsplash Search,Check Source,https://unsplash.com/s/photos/mineral-iridescent
autunite_neon_01.webp,Autunite,mineral,neon,"Radioactive uranium mineral with an intense, natural neon-yellow glow.","autunite, neon, yellow, radioactive, toxic",Unsplash Search,Check Source,https://unsplash.com/s/photos/autunite-mineral
chalcanthite_blue_01.webp,Chalcanthite,crystal,neon,"Lab-grown copper sulfate crystals with an electric, unnatural deep blue hue.","chalcanthite, blue, electric, copper, lab-grown",Unsplash Search,Check Source,https://unsplash.com/s/photos/copper-sulfate-crystal
fluorite_uv_01.webp,UV Fluorite,crystal,neon,Specimen photographed under UV light revealing hidden alien-blue fluorescence.,"fluorite, uv, fluorescent, glow, night",Unsplash Search,Check Source,https://unsplash.com/s/photos/fluorescent-mineral
realgar_red_01.webp,Realgar,mineral,neon,"Arsenic sulfide mineral with a piercing, toxic ruby-red color.","realgar, red, arsenic, toxic, danger",Unsplash Search,Check Source,https://unsplash.com/s/photos/red-mineral-crystal
celestite_sky_01.webp,Celestite Geode,crystal,ethereal,Soft sky-blue crystals that look like frozen clouds.,"celestite, blue, pastel, sky, angelic",Unsplash Search,Check Source,https://unsplash.com/s/photos/celestite
morganite_pink_01.webp,Raw Morganite,gem,ethereal,"Pale pink to peach beryl, known as the 'Pink Emerald'.","morganite, pink, peach, soft, romance",Unsplash Search,Check Source,https://unsplash.com/s/photos/morganite-crystal
kunzite_lilac_01.webp,Kunzite Blade,crystal,ethereal,Lilac-colored spodumene crystal with a glass-like vertical structure.,"kunzite, lilac, purple, blade, clarity",Unsplash Search,Check Source,https://unsplash.com/s/photos/kunzite
angelite_smooth_01.webp,Angelite Tumble,rock,ethereal,"Opaque, matte glacier-blue anhydrite stone.","angelite, blue, matte, smooth, glacier",Unsplash Search,Check Source,https://unsplash.com/s/photos/blue-stone-texture
stibnite_swords_01.webp,Stibnite Swords,metal,abyssal,"Metallic antimony sulfide forming long, sharp, sword-like clusters.","stibnite, grey, metallic, sharp, weapon",Unsplash Search,Check Source,https://unsplash.com/s/photos/stibnite
vanadinite_hex_01.webp,Vanadinite,mineral,abyssal,Deep blood-red hexagonal crystals sitting on pale rock.,"vanadinite, red, hexagonal, blood, geometry",Unsplash Search,Check Source,https://unsplash.com/s/photos/vanadinite
black_tourmaline_rough_01.webp,Schorl (Black Tourmaline),crystal,abyssal,"Deep black, striated columns that absorb almost all light.","tourmaline, black, schorl, protection, dark",Unsplash Search,Check Source,https://unsplash.com/s/photos/black-tourmaline
garnet_matrix_01.webp,Garnet in Schist,rock,abyssal,Dark grey metallic rock studded with blood-red garnet jewels.,"garnet, schist, red, grey, contrast",Unsplash Search,Check Source,https://unsplash.com/s/photos/garnet-in-rock
moldavite_tektite_01.webp,Moldavite,tektite,mystic,A high-frequency green tektite formed by a meteorite impact. Known as the 'Stone of Transformation'.,"moldavite, alien, transformation, meteorite, high-vibration",Unsplash Search,Check Source,https://unsplash.com/s/photos/moldavite
nuummite_sorcerer_01.webp,Nuummite,mineral,mystic,"The 'Sorcerer's Stone.' One of the oldest minerals on Earth (3B years), used for shadow work and reclaiming personal power.","nuummite, ancient, magic, sorcery, black",Unsplash Search,Check Source,https://unsplash.com/s/photos/dark-stone-texture
shungite_noble_01.webp,Elite Shungite,mineral,mystic,A rare non-crystalline carbon mineral from Russia containing fullerenes. Revered for EMF protection.,"shungite, protection, purification, carbon, black",Unsplash Search,Check Source,https://unsplash.com/s/photos/shungite
lapis_lazuli_royal_01.webp,Lapis Lazuli,rock,mystic,"The stone of royalty and truth. Associated with the Third Eye chakra, enhancing intuition and clarity.","lapis, thirdeye, wisdom, truth, royal",Unsplash Search,Check Source,https://unsplash.com/s/photos/lapis-lazuli
super_seven_melody_01.webp,Super Seven,crystal,mystic,Also known as the 'Melody Stone.' A rare combination of seven minerals in one.,"super seven, rare, ascension, quartz, harmony",Unsplash Search,Check Source,https://unsplash.com/s/photos/amethyst-rutile
moonstone_rainbow_01.webp,Rainbow Moonstone,feldspar,mystic,A stone of new beginnings and feminine energy. Its blue flash represents the moon guiding through the subconscious.,"moonstone, intuition, feminine, mystic, flash",Unsplash Search,Check Source,https://unsplash.com/s/photos/moonstone
kyanite_blue_blade_01.webp,Blue Kyanite,crystal,mystic,A powerful transmitter of energy. One of the few stones that never retains negative energy.,"kyanite, alignment, cleansing, blue, blade",Unsplash Search,Check Source,https://unsplash.com/s/photos/kyanite
lemurian_seed_01.webp,Lemurian Seed Quartz,crystal,mystic,Quartz points with distinct horizontal striations. Legend says they hold ancient knowledge of Lemuria.,"lemurian, ancient, knowledge, quartz, record-keeper",Unsplash Search,Check Source,https://unsplash.com/s/photos/clear-quartz-point
charoite_purple_01.webp,Charoite,mineral,mystic,"Found only in Siberia, this swirling purple stone is the 'Stone of the Spirit'.","charoite, purple, siberia, spirit, swirl",Unsplash Search,Check Source,https://unsplash.com/s/photos/purple-stone-texture
herkimer_diamond_01.webp,Herkimer Diamond,crystal,mystic,Double-terminated quartz with extreme clarity and high frequency. Used for attunement and dream work.,"herkimer, dream, clarity, attunement, quartz",Unsplash Search,Check Source,https://unsplash.com/s/photos/diamond-quartz
tigers_eye_gold_01.webp,Golden Tiger's Eye,mineral,common,A metamorphic rock with golden bands that shift light (chatoyancy) like a cat's eye.,"tigers eye, gold, chatoyancy, protection, common",Unsplash Search,Check Source,https://unsplash.com/s/photos/tigers-eye-stone
moss_agate_fern_01.webp,Moss Agate,chalcedony,common,"Semi-transparent chalcedony containing green minerals that look like floating moss, ferns, or forests.","agate, moss, green, nature, garden",Unsplash Search,Check Source,https://unsplash.com/s/photos/moss-agate
smoky_quartz_dark_01.webp,Smoky Quartz,crystal,common,A translucent grey-to-black quartz variety. Its shadowy color comes from natural irradiation.,"quartz, smoky, black, grounding, shadow",Unsplash Search,Check Source,https://unsplash.com/s/photos/smoky-quartz
sodalite_storm_01.webp,Sodalite,rock,common,"Rich royal blue stone crossed with white calcite veins, resembling a stormy ocean or denim.","sodalite, blue, ocean, storm, insight",Unsplash Search,Check Source,https://unsplash.com/s/photos/sodalite
carnelian_ember_01.webp,Carnelian,mineral,common,Glassy translucent orange-red chalcedony that seems to glow from within like a dying ember.,"carnelian, orange, fire, vitality, sacral",Unsplash Search,Check Source,https://unsplash.com/s/photos/carnelian
iceland_spar_calcite_01.webp,Optical Calcite (Iceland Spar),mineral,common,A perfectly clear rhomboid calcite crystal famous for its double-refraction property.,"calcite, clear, optical, science, prism",Unsplash Search,Check Source,https://unsplash.com/s/photos/calcite-crystal
bumblebee_jasper_01.webp,Bumblebee Jasper,rock,common,"A sedimentary rock featuring vivid bands of sulfur yellow, black manganese, and grey ash.","jasper, yellow, bumblebee, volcanic, banded",Unsplash Search,Check Source,https://unsplash.com/s/photos/yellow-stone-texture
lepidolite_sparkle_01.webp,Lepidolite Mica,mineral,common,"Lilac-grey mica rich in lithium. It forms in flaky, glittering sheets that sparkle intensely.","lepidolite, purple, mica, glitter, calm",Unsplash Search,Check Source,https://unsplash.com/s/photos/purple-mineral
